osm_id,name,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
573225445,Farm Boy,supermarket,NA,Farm Boy,Merivale Road,1642,NA,NA,-75.73228145045815,45.346454279151324
573225447,Metro,supermarket,NA,Metro,Merivale Road,1705,NA,NA,-75.72809022482957,45.344998149352854
574589080,FreshCo,supermarket,NA,FreshCo,Cresthaven Drive,350,NA,K2G 4P4,-75.70993037271278,45.27385791054088
576873991,Farm Boy,supermarket,NA,Farm Boy,Bank Street,1500,NA,K1H 7Z1,-75.67026381409565,45.38141287256198
576883869,Sobeys,supermarket,NA,Sobeys,Tenth Line Road,2276,NA,NA,-75.48507366768997,45.45220961759183
578268905,Your Independent Grocer,supermarket,NA,Your Independent Grocer,Alta Vista Drive,2629,NA,NA,-75.66305429461623,45.37227099944933
581659417,FreshCo,supermarket,NA,FreshCo,Robertson Road,2150,NA,NA,-75.83546368171895,45.31942290776158
584484126,Metro,supermarket,NA,Metro,Bank Street,754,NA,NA,-75.68890994230804,45.403365127044026
591034768,The Indian Supermarket,supermarket,NA,NA,Hazeldean Road,474,NA,NA,-75.88817112954783,45.29768266338445
591047218,Bulk Barn,supermarket,NA,Bulk Barn,Trainyards Drive,197,NA,NA,-75.63843317940575,45.411317064594165
605312783,Foodland,supermarket,NA,Foodland,Craig Street,148,Russell,NA,-75.37388912051007,45.25703694829723
605365786,Walmart Supercentre,supermarket,NA,Walmart,Riverside Drive,2277,NA,NA,-75.67945809843135,45.38516011486689
605371373,Bulk Barn,supermarket,NA,Bulk Barn,Riverside Drive,2269,NA,NA,-75.6755172226064,45.38670994099128
605371380,Your Independent Grocer,supermarket,NA,Your Independent Grocer,Riverside Drive,2241,NA,NA,-75.67645875413531,45.38585742720173
605393493,Your Independent Grocer,supermarket,NA,Your Independent Grocer,Eagleson Road,300,NA,NA,-75.87758647046533,45.30116300451652
616359879,Your Independent Grocer,supermarket,NA,Your Independent Grocer,County Road 43,2600,Kemptville,K0G 1J0,-75.6552322963813,45.0186779285366
620501508,Your Independent Grocer,supermarket,NA,Your Independent Grocer,Montréal Road,596,NA,K1K 0T9,-75.64323049846622,45.44110060472178
624881290,IGA,supermarket,NA,IGA,Montée de la Source,455,NA,J8V 3B5,-75.77398383254882,45.54071795135595
651371863,Farm Boy,supermarket,NA,Farm Boy,Rideau Street,50,NA,NA,-75.69283663005423,45.42542360896475
652110303,Metro,supermarket,NA,Metro,Bank Street,2515,NA,NA,-75.64421330817926,45.354875111219286
664536849,Spice World Supermarket,supermarket,NA,NA,Stonehaven Drive,62,Kanata,K2M 2Y2,-75.85796764968947,45.292262949649675
671001682,La Boîte à Grains,supermarket,NA,NA,Boulevard Gréber,325(8),Gatineau,J8T 8J3,-75.69851614553724,45.478615474608475
671009986,Adonis,supermarket,NA,NA,Boulevard Maloney Ouest,920,NA,J8T 3R6,-75.68834444652944,45.47824523190808
683005821,Silk Road Foods,supermarket,NA,NA,Merivale Road,1620,NA,NA,-75.7327464029906,45.34744094016059
688456482,Your Independent Grocer,supermarket,NA,Your Independent Grocer,NA,NA,NA,NA,-76.26615012404365,44.90790465375617
692867692,Marché Wakim,supermarket,NA,NA,NA,NA,NA,NA,-75.73162690454446,45.44216818746216
693895602,Super C,supermarket,NA,Super C,Rue Principale,171,NA,NA,-75.83755368172287,45.39657222485779
693956409,Marché Laflamme,supermarket,NA,NA,Rue Principale,126,NA,J9H 3M4,-75.84295652857413,45.39438631122885
700747177,Valu-mart,supermarket,NA,Valu-mart,NA,NA,NA,NA,-75.18403467841792,44.9002365293796
702583279,Bulk Barn,supermarket,NA,Bulk Barn,Richelieu Street,3004,NA,NA,-75.30711091636013,45.53365437964004
713140766,Bombay Spices,supermarket,NA,NA,West Hunt Club Road,565,NA,NA,-75.72909009918014,45.33558264961686
738704602,Metro,supermarket,NA,Metro,NA,NA,NA,NA,-76.25617417026704,44.90221736720355
743735626,Foodsmiths,supermarket,NA,NA,NA,NA,NA,NA,-76.2613000831077,44.90673384524674
762479340,Foodland,supermarket,NA,Foodland,Bank Street,6045,NA,NA,-75.5547136357006,45.26336717150167
768964058,Metro,supermarket,NA,Metro,Cope Drive,10,NA,NA,-75.86544210527562,45.281870146143994
839203628,No Frills,supermarket,NA,No Frills,Iber Road,30,NA,NA,-75.91269870444332,45.2807447246028
874937402,Farm Boy,supermarket,NA,Farm Boy,Belfast Road,820,NA,NA,-75.63789725985383,45.41259557631724
1014117763,Metro,supermarket,NA,Metro,Richmond Road,1360,NA,NA,-75.78572107697596,45.365307728346544
1028815128,IGA,supermarket,NA,IGA,NA,NA,NA,NA,-75.89894749349699,45.59766167355429
