osm_id,name,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
7747287179,Pietro's Corner,deli,restaurant,NA,Preston Street,106,NA,NA,-75.7145536,45.408644
7862180578,Merivale Fish Market,seafood,NA,NA,Merivale Road,1480,NA,NA,-75.7359441,45.3600934
8138384415,Savage & Fils Abattoir,butcher,NA,NA,NA,NA,NA,NA,-75.1243682,45.2545517
8155662773,Cylie Artisans Chocolatiers,chocolate,NA,NA,Bank Street,1071,NA,K1S 3W9,-75.6835124,45.3947273
8175404105,Urban Farm Girls,bakery,NA,NA,John Street North,135,NA,NA,-76.3536588,45.433963
8297683407,BeaverTails,pastry,NA,NA,Laurier Avenue West,110,Ottawa,K1P 1J1,-75.6904002,45.4211868
8683741517,Amandine Patisserie,pastry,NA,NA,Wellington Street West,1175,Ottawa,K1Y 2Z2,-75.7289832,45.4009983
8830679518,Amore Gelato,NA,ice_cream,NA,NA,NA,NA,NA,-75.6913108,45.4269069
9085135040,Al Raheem,deli,NA,NA,NA,NA,NA,NA,-75.7485843,45.2773428
9126642017,Natural Food Pantry,health_food,NA,NA,Scott Street,1960,NA,NA,-75.7502049,45.3965257
9138639258,Perth Pie Co.,bakery,NA,NA,NA,NA,NA,NA,-76.2509172,44.9009343
9138639273,Stella Luna,NA,ice_cream,NA,NA,NA,NA,NA,-76.2499816,44.9007038
9297542486,Jacobsons,deli,NA,NA,Beechwood Avenue,103,NA,NA,-75.6735667,45.4414463
9307542688,Mercato Zacconi,deli,NA,NA,Preston Street,215,NA,NA,-75.7124741,45.4058996
9611926162,North Station Provisions,deli,NA,NA,Manotick Main Street,5556,NA,NA,-75.683567300000007,45.2241372
9773900399,Meringue & Confettis,bakery,NA,NA,Rue Montcalm,158,NA,NA,-75.7260624,45.4294256
9795846602,COBS Bread,bakery,NA,COBS Bread,Richmond Road,414,NA,NA,-75.7573581,45.3901711
9797492830,Duke Fine Foods,deli,NA,NA,Robertson Road,2120,NA,NA,-75.8333859,45.3213815
9813439462,Dessert First,bakery,cafe,NA,Bay Street,350,Ottawa,K1R 6A2,-75.70221,45.4128188
9836641524,Wedel - Touch of Europe,NA,ice_cream,NA,NA,NA,NA,NA,-75.7525455,45.3925491
9938314484,Spise Fine Foods,deli,NA,NA,Russell Street East,24,Smiths Falls,K7A 1E8,-76.0199733,44.9015619
9938314486,Modern Thymes Natural Food,health_food,NA,NA,Russell Street East,11,Smiths Falls,K7A 1E7,-76.0204301,44.9012689
9938314496,C'est Tout,bakery,cafe,NA,NA,NA,NA,NA,-76.0214464,44.9006834
