osm_id,type,name,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
5156244577,restaurant,Oliver's Pub and Patio,NA,restaurant,NA,Colonel By Drive,1125,NA,NA,-75.6975534,45.3831656
5158087366,cafe,Gladstone Lounge,NA,cafe,NA,NA,NA,NA,NA,-75.7052924,45.4070532
5158087367,restaurant,Suya Palace,NA,restaurant,NA,NA,NA,NA,NA,-75.7038669,45.4079648
5159729978,cafe,Starbucks,NA,cafe,Starbucks,Colonel By Drive,1125,NA,NA,-75.6994825,45.3822517
5159905522,restaurant,Mad Radish,NA,restaurant,NA,Bank Street,859,NA,NA,-75.6872576,45.4013352
5162267624,convenience,Metcalfe Variety,convenience,NA,NA,Victoria Street,8196,NA,NA,-75.4744278,45.2349589
5163719545,food_court,Oasis,NA,food_court,NA,Colonel By Drive,1125,NA,NA,-75.6971049,45.3870979
5178407976,cafe,Tim Hortons,NA,cafe,Tim Hortons,Hazeldean Road,6061,NA,NA,-75.9309863,45.2726719
5204370623,convenience,Circle K,convenience,NA,Circle K,Elgin Street,160,NA,NA,-75.6942367,45.419511
5204815607,restaurant,Cafe nostalgica,NA,restaurant,NA,NA,NA,NA,NA,-75.683922,45.4240305
5204841596,cafe,Tim Hortons,NA,cafe,Tim Hortons,Université Private,85,NA,K1N 6N5,-75.683858,45.4226616
5204841597,restaurant,Bento Sushi,NA,restaurant,NA,Université Private,65,NA,K1N 6N5,-75.6838916,45.4226641
5240421114,convenience,Circle K,convenience,NA,Circle K,Merivale Road,1584,NA,NA,-75.7335904,45.3501208
5297919950,cafe,Megabite Cafe,NA,cafe,NA,NA,NA,NA,NA,-75.9199817,45.3491167
5298489412,cafe,B-Café,NA,cafe,NA,Legget Drive,525,NA,NA,-75.9181606,45.3481545
5298603557,fast_food,Little Caesars,NA,fast_food,Little Caesars,Montréal Road,355,NA,NA,-75.6550714,45.4387191
5302662802,cafe,Good Eats,NA,cafe,NA,Bell Street North,207,NA,NA,-75.7052602,45.4058686
5302768450,restaurant,Mexi's,NA,restaurant,NA,Centrum Boulevard,250,NA,NA,-75.5102134,45.480197
5369368927,cafe,Happy Goat,NA,cafe,NA,Wilbrod Street,317,NA,NA,-75.6806017,45.4277156
5398462221,restaurant,St. Martha's Brasserie D'Orleans,NA,restaurant,NA,St. Joseph Boulevard,3095,NA,NA,-75.5092201,45.4802402
5398499721,cafe,Little Jo Berry's Bakery,bakery,cafe,NA,Wellington Street West,1303,NA,NA,-75.7358391,45.3990103
5403715821,fast_food,nom nom,NA,fast_food,NA,Montréal Road,2160,NA,NA,-75.5894346,45.4489149
5419261568,convenience,Circle K,convenience,NA,Circle K,Teron Road,1031,NA,NA,-75.9003648,45.3305716
5423846666,restaurant,GoGiYa,NA,restaurant,NA,Bank Street,155,NA,NA,-75.6991952,45.4189055
5424673354,convenience,Circle K,convenience,NA,Circle K,Arch Street,2213,NA,NA,-75.6303482,45.3895296
5444227823,convenience,Hung Pat Grocery,convenience,NA,NA,Rochester Street,139,NA,NA,-75.7116826,45.4088482
5444251919,restaurant,Stars Palace,NA,restaurant,NA,Montréal Road,161,NA,NA,-75.6648755,45.4349458
5444253028,fast_food,The Great Canadian Poutinerie,NA,fast_food,NA,Deschamps Avenue,200,NA,NA,-75.6647879,45.4365605
5444253033,convenience,By Grace Food Market,convenience,NA,NA,Montréal Road,183,NA,NA,-75.6640968,45.4352401
5445740608,restaurant,Vietnam Palace,NA,restaurant,NA,Somerset Street West,819,NA,NA,-75.7112818,45.4093948
5476023963,restaurant,i Cook Persian Cuisine,NA,restaurant,NA,Ridgewood Avenue,731,NA,NA,-75.6881867,45.3685357
5504236489,fast_food,Subway,NA,fast_food,Subway,Carling Avenue,3500,NA,NA,-75.8508017,45.3481594
5504236491,fast_food,Subway,NA,fast_food,Subway,Hazeldean Road,5577,NA,NA,-75.9060248,45.2887911
5504236497,fast_food,Subway,NA,fast_food,Subway,Bank Street,2056,NA,NA,-75.6605647,45.3647688
5504236498,fast_food,Subway,NA,fast_food,Subway,Aviation Parkway,801,NA,NA,-75.6280067,45.4393554
5504236500,fast_food,Subway,NA,fast_food,Subway,Colonel By Drive,1125,NA,NA,-75.6934163,45.3861242
5504236501,fast_food,Subway,NA,fast_food,Subway,Colonel By Drive,1125,NA,NA,-75.6975185,45.3833907
5504236503,fast_food,Subway,NA,fast_food,Subway,Queen Street,320,NA,NA,-75.7041811,45.419438
5504236505,fast_food,Subway,NA,fast_food,Subway,Laurier Avenue West,407,NA,NA,-75.702307,45.4178349
5504236506,fast_food,Subway,NA,fast_food,Subway,Sparks Street,240,NA,NA,-75.701899,45.420423
5506692108,cafe,Tim Hortons,NA,cafe,Tim Hortons,Prince Of Wales Drive,2162,NA,NA,-75.7018202,45.3333194
