osm_id,name,ons_type,type,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
578268905,Your Independent Grocer,grocery,supermarket,supermarket,NA,Your Independent Grocer,Alta Vista Drive,2629,NA,NA,-75.66305429461623,45.37227099944933
578268909,Cora,restaurant,restaurant,NA,restaurant,Cora,Alta Vista Drive,2629,NA,NA,-75.662089957447,45.37344665338527
578269812,Subway,fast_food,fast_food,NA,fast_food,Subway,Alta Vista Drive,1567,NA,NA,-75.65734999645932,45.408524107841394
578269815,Vista Min-a-Mart,convenience,convenience,convenience,NA,NA,Alta Vista Drive,1565,NA,NA,-75.65731135084661,45.40859605060362
578269816,Aahar,restaurant,restaurant,NA,restaurant,NA,Alta Vista Drive,1573,NA,NA,-75.65743704980562,45.40836239647813
578269817,Super Bite Shawarma,fast_food,fast_food,NA,fast_food,NA,Alta Vista Drive,1577,NA,NA,-75.65749571202997,45.40831549660764
578272888,Sala Thai,restaurant,restaurant,NA,restaurant,NA,Alta Vista Drive,2666,NA,NA,-75.66355886011667,45.3735322717774
578272890,KFC,fast_food,fast_food,NA,fast_food,KFC,Alta Vista Drive,2670,NA,NA,-75.66366494293244,45.373505057834265
578272891,Subway,fast_food,fast_food,NA,fast_food,Subway,Alta Vista Drive,2678,NA,NA,-75.66380416928432,45.37348753847221
578272893,Mango's,fast_food,fast_food,NA,fast_food,NA,Alta Vista Drive,2702,NA,NA,-75.663916160601,45.37347853036113
578272895,PopulariTea,fast_food,cafe,NA,cafe,NA,Alta Vista Drive,2690,NA,NA,-75.664014532941,45.37346364112872
578272908,Gabriel Pizza,fast_food,fast_food,NA,fast_food,Gabriel Pizza,Alta Vista Drive,2660,NA,NA,-75.66333212312146,45.37364700331534
578287129,Chess Pizza,fast_food,fast_food,NA,fast_food,NA,Viewmount Drive,350,NA,NA,-75.71490664788165,45.34895584890118
578287133,Quickie,convenience,convenience,convenience,NA,NA,Viewmount Drive,350,NA,NA,-75.71496220121773,45.34915304954922
578296236,Hasty Market,convenience,convenience,convenience,NA,NA,Prince Of Wales Drive,1896,NA,NA,-75.70506920111873,45.353696098823235
578296237,The Wok Chinese Food,fast_food,fast_food,NA,fast_food,NA,Prince Of Wales Drive,1896,NA,NA,-75.7050076521603,45.35372089839246
578296255,Shawarma De Roza,restaurant,restaurant,NA,restaurant,NA,Prince Of Wales Drive,1896,NA,NA,-75.70444955129956,45.35394594850888
578599188,Bobbie's Pizza & Subs,fast_food,fast_food,NA,fast_food,NA,Ogilvie Road,1443,NA,NA,-75.61836581920414,45.43196838696618
578678057,Moe's,convenience,convenience,convenience,NA,NA,Cyrville Road,1665,NA,NA,-75.60802275405463,45.41812956376354
578678058,J N Pizza,fast_food,fast_food,NA,fast_food,NA,Cyrville Road,1663,NA,K1B 3L7,-75.6081704139702,45.418002466513016
578678059,J N Sports Bar,restaurant,bar,NA,bar,NA,Cyrville Road,1663,NA,NA,-75.60801325673508,45.41798587978421
579318767,Hasty Market,convenience,convenience,convenience,NA,Hasty Market,Carling Avenue,2361,NA,NA,-75.77906605381162,45.367191317597864
580611245,Zoureen's Cafe,fast_food,cafe,NA,cafe,NA,McArthur Avenue,320,NA,NA,-75.65388540150128,45.431506197466476
581627361,Margo,restaurant,restaurant,NA,restaurant,NA,York Street,259,NA,K1N 5T9,-75.68581727356016,45.431402769120616
581659405,Gabriel Pizza,fast_food,fast_food,NA,fast_food,Gabriel Pizza,Robertson Road,2150,NA,NA,-75.83665570569279,45.319173711920484
581659407,Athens Grill,restaurant,restaurant,NA,restaurant,NA,Robertson Road,2150,NA,NA,-75.83669424983277,45.319219811005944
581659411,The Mongolian Village,restaurant,restaurant,NA,restaurant,NA,Robertson Road,2150,NA,NA,-75.83698456074141,45.31956662342246
581659412,Balista,fast_food,fast_food,NA,fast_food,NA,Robertson Road,2150,NA,NA,-75.83697280084854,45.31969995821093
581659416,Quesada,fast_food,fast_food,NA,fast_food,Quesada,Robertson Road,2150,NA,NA,-75.83734870463668,45.31993212219882
581659417,FreshCo,grocery,supermarket,supermarket,NA,FreshCo,Robertson Road,2150,NA,NA,-75.83546368171895,45.31942290776158
581696766,Harbour Pizza,fast_food,fast_food,NA,fast_food,NA,Fitzroy Street,2391,NA,NA,-76.21513461204125,45.471526147762546
581766098,Rangoli,restaurant,restaurant,NA,restaurant,NA,St. Joseph Boulevard,2491,NA,NA,-75.52739814515357,45.47028176909658
583053805,Palermo's Pizzeria,fast_food,fast_food,NA,fast_food,NA,Tapiola Crescent,25,NA,NA,-75.64675193906973,45.364127330561786
583053808,Al-oumara,fast_food,fast_food,NA,fast_food,NA,Tapiola Crescent,25,NA,NA,-75.64654026805728,45.363869100184075
583053810,O'Grady's Outpost,restaurant,restaurant,NA,restaurant,NA,Tapiola Crescent,25,NA,NA,-75.64647922437982,45.36379197583528
583075397,The Works,restaurant,restaurant,NA,restaurant,NA,Bank Street,2525,NA,NA,-75.6438441903733,45.35421773289132
583580937,Shanghai One,restaurant,restaurant,NA,restaurant,NA,Merivale Road,1872,NA,NA,-75.72505053548484,45.33337835472056
583599645,Kettleman's Bagel,fast_food,fast_food,NA,fast_food,NA,Trainyards Drive,197,NA,NA,-75.63817024231554,45.411654599463176
583776638,GB Caribbean Grocery,convenience,convenience,convenience,NA,NA,Center Street,609,NA,NA,-75.64273230663402,45.441844350738855
583776652,Boukannen Bar & Grill,restaurant,restaurant,NA,restaurant,NA,Center Street,623,NA,NA,-75.64257931248754,45.441582381055085
